language,mode,command,description
en,EX commands,:abo[veleft],make split window appear left or above
en,EX commands,:al[l],open a window for each file in the argument list
en,EX commands,:am[enu],enter new menu item for all modes
en,EX commands,:an[oremenu],enter a new menu for all modes that will not be remapped
en,EX commands,:a[ppend],append text
en,EX commands,:arga[dd],add items to the argument list
en,EX commands,:argd[elete],delete items from the argument list
en,EX commands,:argdo,do a command on all items in the argument list
en,EX commands,:arge[dit],add item to the argument list and edit it
en,EX commands,:argg[lobal],define the global argument list
en,EX commands,:argl[ocal],define a local argument list
en,EX commands,:ar[gs],print the argument list
en,EX commands,:argu[ment],go to specific file in the argument list
en,EX commands,:as[cii],print ascii value of character under the cursor
en,EX commands,:aug[roup],select the autocommand group to use
en,EX commands,:aun[menu],remove menu for all modes
en,EX commands,:au[tocmd],enter or show autocommands
en,EX commands,:bad[d],add buffer to the buffer list
en,EX commands,:ba[ll],open a window for each buffer in the buffer list
en,EX commands,:bd[elete],remove a buffer from the buffer list
en,EX commands,:be[have],set mouse and selection behavior
en,EX commands,:bel[owright],make split window appear right or below
en,EX commands,:bf[irst],go to first buffer in the buffer list
en,EX commands,:bl[ast],go to last buffer in the buffer list
en,EX commands,:bm[odified],go to next buffer in the buffer list that has been modified
en,EX commands,:bn[ext],go to next buffer in the buffer list
en,EX commands,:bN[ext],go to previous buffer in the buffer list
en,EX commands,:bo[tright],make split window appear at bottom or far right
en,EX commands,:bp[revious],go to previous buffer in the buffer list
en,EX commands,:brea[k],break out of while loop
en,EX commands,:breaka[dd],add a debugger breakpoint
en,EX commands,:breakd[el],delete a debugger breakpoint
en,EX commands,:breakl[ist],list debugger breakpoints
en,EX commands,:br[ewind],go to first buffer in the buffer list
en,EX commands,:bro[wse],use file selection dialog
en,EX commands,:bufdo,execute command in each listed buffer
en,EX commands,:b[uffer],go to specific buffer in the buffer list
en,EX commands,:buffers,list all files in the buffer list
en,EX commands,:bun[load],unload a specific buffer
en,EX commands,:bw[ipeout],really delete a buffer
en,EX commands,:ca[bbrev],"like "":abbreviate"" but for Command-line mode"
en,EX commands,:cabc[lear],clear all abbreviations for Command-line mode
en,EX commands,:caddb[uffer],add errors from buffer
en,EX commands,:cad[dexpr],add errors from expr
en,EX commands,:caddf[ile],add error message to current quickfix list
en,EX commands,:cal[l],call a function
en,EX commands,:cat[ch],part of a :try command
en,EX commands,:cb[uffer],parse error messages and jump to first error
en,EX commands,:cc,go to specific error
en,EX commands,:ccl[ose],close quickfix window
en,EX commands,:cd,change directory
en,EX commands,:ce[nter],format lines at the center
en,EX commands,:cex[pr],read errors from expr and jump to first
en,EX commands,:cf[ile],read file with error messages and jump to first
en,EX commands,:cfir[st],"go to the specified error, default first one"
en,EX commands,:cgetb[uffer],get errors from buffer
en,EX commands,:cgete[xpr],get errors from expr
en,EX commands,:cg[etfile],read file with error messages
en,EX commands,:c[hange],replace a line or series of lines
en,EX commands,:cha[nges],print the change list
en,EX commands,:chd[ir],change directory
en,EX commands,:che[ckpath],list included files
en,EX commands,:checkt[ime],check timestamp of loaded buffers
en,EX commands,:cla[st],"go to the specified error, default last one"
en,EX commands,:cl[ist],list all errors
en,EX commands,:clo[se],close current window
en,EX commands,:cm[ap],"like "":map"" but for Command-line mode"
en,EX commands,:cmapc[lear],clear all mappings for Command-line mode
en,EX commands,:cme[nu],add menu for Command-line mode
en,EX commands,:cnew[er],go to newer error list
en,EX commands,:cn[ext],go to next error
en,EX commands,:cN[ext],go to previous error
en,EX commands,:cnf[ile],go to first error in next file
en,EX commands,:cNf[ile],go to last error in previous file
en,EX commands,:cnorea[bbrev],"like "":noreabbrev"" but for Command-line mode"
en,EX commands,:cno[remap],"like "":noremap"" but for Command-line mode"
en,EX commands,:cnoreme[nu],"like "":noremenu"" but for Command-line mode"
en,EX commands,:col[der],go to older error list
en,EX commands,:colo[rscheme],load a specific color scheme
en,EX commands,:comc[lear],clear all user-defined commands
en,EX commands,:com[mand],create user-defined command
en,EX commands,:comp[iler],do settings for a specific compiler
en,EX commands,:conf[irm],prompt user when confirmation required
en,EX commands,:con[tinue],go back to :while
en,EX commands,:cope[n],open quickfix window
en,EX commands,:co[py],copy lines
en,EX commands,:cpf[ile],go to last error in previous file
en,EX commands,:cp[revious],go to previous error
en,EX commands,:cq[uit],quit Vim with an error code
en,EX commands,:cr[ewind],"go to the specified error, default first one"
en,EX commands,:cs[cope],execute cscope command
en,EX commands,:cst[ag],use cscope to jump to a tag
en,EX commands,:cuna[bbrev],"like "":unabbrev"" but for Command-line mode"
en,EX commands,:cu[nmap],"like "":unmap"" but for Command-line mode"
en,EX commands,:cunme[nu],remove menu for Command-line mode
en,EX commands,:cw[indow],open or close quickfix window
en,EX commands,:deb[ug],run a command in debugging mode
en,EX commands,:debugg[reedy],read debug mode commands from normal input
en,EX commands,:delc[ommand],delete user-defined command
en,EX commands,:d[elete],delete lines
en,EX commands,:delf[unction],delete a user function
en,EX commands,:delm[arks],delete marks
en,EX commands,:diffg[et],remove differences in current buffer
en,EX commands,:diffo[ff],switch off diff mode
en,EX commands,:diffp[atch],apply a patch and show differences
en,EX commands,:diffpu[t],remove differences in other buffer
en,EX commands,:diffs[plit],show differences with another file
en,EX commands,:diffthis,make current window a diff window
en,EX commands,:dif[fupdate],update 'diff' buffers
en,EX commands,:dig[raphs],show or enter digraphs
en,EX commands,:di[splay],display registers
en,EX commands,:dj[ump],jump to #define
en,EX commands,:dl[ist],list #defines
en,EX commands,:doautoa[ll],apply autocommands for all loaded buffers
en,EX commands,:do[autocmd],apply autocommands to current buffer
en,EX commands,:dr[op],jump to window editing file or edit file in current window
en,EX commands,:ds[earch],list one #define
en,EX commands,:dsp[lit],split window and jump to #define
en,EX commands,:ea[rlier],"go to older change, undo"
en,EX commands,:ec[ho],echoes the result of expressions
en,EX commands,:echoe[rr],"like :echo, show like an error and use history"
en,EX commands,:echoh[l],set highlighting for echo commands
en,EX commands,:echom[sg],"same as :echo, put message in history"
en,EX commands,:echon,"same as :echo, but without <EOL>"
en,EX commands,:e[dit],edit a file
en,EX commands,:el[se],part of an :if command
en,EX commands,:elsei[f],part of an :if command
en,EX commands,:em[enu],execute a menu by name
en,EX commands,:endfo[r],end previous :for
en,EX commands,:endf[unction],end of a user function
en,EX commands,:en[dif],end previous :if
en,EX commands,:endt[ry],end previous :try
en,EX commands,:endw[hile],end previous :while
en,EX commands,:ene[w],"edit a new, unnamed buffer"
en,EX commands,:ex,"same as "":edit"""
en,EX commands,:exe[cute],execute result of expressions
en,EX commands,:exi[t],"same as "":xit"""
en,EX commands,:exu[sage],overview of Ex commands
en,EX commands,:f[ile],show or set the current file name
en,EX commands,:files,list all files in the buffer list
en,EX commands,:filet[ype],switch file type detection on/off
en,EX commands,:fina[lly],part of a :try command
en,EX commands,:fin[d],find file in 'path' and edit it
en,EX commands,:fini[sh],quit sourcing a Vim script
en,EX commands,:fir[st],go to the first file in the argument list
en,EX commands,:fix[del],set key code of <Del>
en,EX commands,:fo[ld],create a fold
en,EX commands,:foldc[lose],close folds
en,EX commands,:folddoc[losed],execute command on lines in a closed fold
en,EX commands,:foldd[oopen],execute command on lines not in a closed fold
en,EX commands,:foldo[pen],open folds
en,EX commands,:for,for loop
en,EX commands,:fu[nction],define a user function
en,EX commands,:g[lobal],execute commands for matching lines
en,EX commands,:go[to],go to byte in the buffer
en,EX commands,:gr[ep],run 'grepprg' and jump to first match
en,EX commands,:grepa[dd],"like :grep, but append to current list"
en,EX commands,:gu[i],start the GUI
en,EX commands,:gv[im],start the GUI
en,EX commands,:ha[rdcopy],send text to the printer
en,EX commands,:h[elp],open a help window
en,EX commands,:helpf[ind],dialog to open a help window
en,EX commands,:helpg[rep],"like "":grep"" but searches help files"
en,EX commands,:helpt[ags],generate help tags for a directory
en,EX commands,:hid[e],hide current buffer for a command
en,EX commands,:hi[ghlight],specify highlighting methods
en,EX commands,:his[tory],print a history list
en,EX commands,:ia[bbrev],"like "":abbrev"" but for Insert mode"
en,EX commands,:iabc[lear],"like "":abclear"" but for Insert mode"
en,EX commands,:if,execute commands when condition met
en,EX commands,:ij[ump],jump to definition of identifier
en,EX commands,:il[ist],list lines where identifier matches
en,EX commands,:im[ap],"like "":map"" but for Insert mode"
en,EX commands,:imapc[lear],"like "":mapclear"" but for Insert mode"
en,EX commands,:ime[nu],add menu for Insert mode
en,EX commands,:inorea[bbrev],"like "":noreabbrev"" but for Insert mode"
en,EX commands,:ino[remap],"like "":noremap"" but for Insert mode"
en,EX commands,:inoreme[nu],"like "":noremenu"" but for Insert mode"
en,EX commands,:i[nsert],insert text
en,EX commands,:int[ro],print the introductory message
en,EX commands,:is[earch],list one line where identifier matches
en,EX commands,:isp[lit],split window and jump to definition of identifier
en,EX commands,:iuna[bbrev],"like "":unabbrev"" but for Insert mode"
en,EX commands,:iu[nmap],"like "":unmap"" but for Insert mode"
en,EX commands,:iunme[nu],remove menu for Insert mode
en,EX commands,:j[oin],join lines
en,EX commands,:ju[mps],print the jump list
en,EX commands,:k,set a mark
en,EX commands,:keepa[lt],following command keeps the alternate file
en,EX commands,:keepj[umps],following command keeps jumplist and marks
en,EX commands,:kee[pmarks],following command keeps marks where they are
en,EX commands,:laddb[uffer],add locations from buffer
en,EX commands,:lad[dexpr],add locations from expr
en,EX commands,:laddf[ile],add locations to current location list
en,EX commands,:lan[guage],set the language (locale)
en,EX commands,:la[st],go to the last file in the argument list
en,EX commands,:lat[er],"go to newer change, redo"
en,EX commands,:lb[uffer],parse locations and jump to first location
en,EX commands,:lc[d],change directory locally
en,EX commands,:lch[dir],change directory locally
en,EX commands,:lcl[ose],close location window
en,EX commands,:lcs[cope],"like "":cscope"" but uses location list"
en,EX commands,:le[ft],left align lines
en,EX commands,:lefta[bove],make split window appear left or above
en,EX commands,:let,assign a value to a variable or option
en,EX commands,:lex[pr],read locations from expr and jump to first
en,EX commands,:lf[ile],read file with locations and jump to first
en,EX commands,:lfir[st],"go to the specified location, default first one"
en,EX commands,:lgetb[uffer],get locations from buffer
en,EX commands,:lgete[xpr],get locations from expr
en,EX commands,:lg[etfile],read file with locations
en,EX commands,:lgr[ep],run 'grepprg' and jump to first match
en,EX commands,:lgrepa[dd],"like :grep, but append to current list"
en,EX commands,:lh[elpgrep],"like "":helpgrep"" but uses location list"
en,EX commands,:l[ist],print lines
en,EX commands,:ll,go to specific location
en,EX commands,:lla[st],"go to the specified location, default last one"
en,EX commands,:lli[st],list all locations
en,EX commands,:lmak[e],execute external command 'makeprg' and parse error messages
en,EX commands,:lm[ap],"like "":map!"" but includes Lang-Arg mode"
en,EX commands,:lmapc[lear],"like "":mapclear!"" but includes Lang-Arg mode"
en,EX commands,:lnew[er],go to newer location list
en,EX commands,:lne[xt],go to next location
en,EX commands,:lN[ext],go to previous entry in location list
en,EX commands,:lnf[ile],go to first location in next file
en,EX commands,:lNf[ile],go to last entry in previous file
en,EX commands,:ln[oremap],"like "":noremap!"" but includes Lang-Arg mode"
en,EX commands,:loadk[eymap],load the following keymaps until EOF
en,EX commands,:lo[adview],load view for current window from a file
en,EX commands,:loc[kmarks],following command keeps marks where they are
en,EX commands,:lockv[ar],lock variables
en,EX commands,:lol[der],go to older location list
en,EX commands,:lope[n],open location window
en,EX commands,:lpf[ile],go to last location in previous file
en,EX commands,:lp[revious],go to previous location
en,EX commands,:lr[ewind],"go to the specified location, default first one"
en,EX commands,:ls,list all buffers
en,EX commands,:lt[ag],jump to tag and add matching tags to the location list
en,EX commands,:lua,execute |Lua| command
en,EX commands,:luad[o],execute Lua command for each line
en,EX commands,:luaf[ile],execute |Lua| script file
en,EX commands,:lu[nmap],"like "":unmap!"" but includes Lang-Arg mode"
en,EX commands,:lv[imgrep],search for pattern in files
en,EX commands,:lvimgrepa[dd],"like :vimgrep, but append to current list"
en,EX commands,:lw[indow],open or close location window
en,EX commands,:mak[e],execute external command 'makeprg' and parse error messages
en,EX commands,:map,show or enter a mapping
en,EX commands,:mapc[lear],clear all mappings for Normal and Visual mode
en,EX commands,:ma[rk],set a mark
en,EX commands,:marks,list all marks
en,EX commands,:mat[ch],define a match to highlight
en,EX commands,:me[nu],enter a new menu item
en,EX commands,:menut[ranslate],add a menu translation item
en,EX commands,:mes[sages],view previously displayed messages
en,EX commands,:mk[exrc],write current mappings and settings to a file
en,EX commands,:mks[ession],write session info to a file
en,EX commands,:mksp[ell],produce .spl spell file
en,EX commands,:mkvie[w],write view of current window to a file
en,EX commands,:mkv[imrc],write current mappings and settings to a file
en,EX commands,:mod[e],show or change the screen mode
en,EX commands,:m[ove],move lines
en,EX commands,:mzf[ile],execute MzScheme script file
en,EX commands,:mz[scheme],execute MzScheme command
en,EX commands,:nbc[lose],close the current Netbeans session
en,EX commands,:nb[key],pass a key to Netbeans
en,EX commands,:nbs[art],start a new Netbeans session
en,EX commands,:new,create a new empty window
en,EX commands,:n[ext],go to next file in the argument list
en,EX commands,:N[ext],go to previous file in the argument list
en,EX commands,:nm[ap],"like "":map"" but for Normal mode"
en,EX commands,:nmapc[lear],clear all mappings for Normal mode
en,EX commands,:nme[nu],add menu for Normal mode
en,EX commands,:nn[oremap],"like "":noremap"" but for Normal mode"
en,EX commands,:nnoreme[nu],"like "":noremenu"" but for Normal mode"
en,EX commands,:noa[utocmd],following command don't trigger autocommands
en,EX commands,:noh[lsearch],suspend 'hlsearch' highlighting
en,EX commands,:norea[bbrev],enter an abbreviation that will not be remapped
en,EX commands,:no[remap],enter a mapping that will not be remapped
en,EX commands,:noreme[nu],enter a menu that will not be remapped
en,EX commands,:norm[al],execute Normal mode commands
en,EX commands,:nu[mber],print lines with line number
en,EX commands,:nun[map],"like "":unmap"" but for Normal mode"
en,EX commands,:nunme[nu],remove menu for Normal mode
en,EX commands,:ol[dfiles],list files that have marks in the viminfo file
en,EX commands,:om[ap],"like "":map"" but for Operator-pending mode"
en,EX commands,:omapc[lear],remove all mappings for Operator-pending mode
en,EX commands,:ome[nu],add menu for Operator-pending mode
en,EX commands,:on[ly],close all windows except the current one
en,EX commands,:ono[remap],"like "":noremap"" but for Operator-pending mode"
en,EX commands,:onoreme[nu],"like "":noremenu"" but for Operator-pending mode"
en,EX commands,:o[pen],start open mode (not implemented)
en,EX commands,:opt[ions],open the options-window
en,EX commands,:ou[nmap],"like "":unmap"" but for Operator-pending mode"
en,EX commands,:ounme[nu],remove menu for Operator-pending mode
en,EX commands,:ow[nsyntax],set new local syntax highlight for this window
en,EX commands,:pc[lose],close preview window
en,EX commands,:ped[it],edit file in the preview window
en,EX commands,:pe[rl],execute Perl command
en,EX commands,:perld[o],execute Perl command for each line
en,EX commands,:po[p],jump to older entry in tag stack
en,EX commands,:pop[up],popup a menu by name
en,EX commands,:pp[op],""":pop"" in preview window"
en,EX commands,:pre[serve],write all text to swap file
en,EX commands,:prev[ious],go to previous file in argument list
en,EX commands,:p[rint],print lines
en,EX commands,:P[rint],print lines
en,EX commands,:profd[el],stop profiling a function or script
en,EX commands,:prof[ile],profiling functions and scripts
en,EX commands,:pro[mptfind],open GUI dialog for searching
en,EX commands,:promptr[epl],open GUI dialog for search/replace
en,EX commands,:ps[earch],"like "":ijump"" but shows match in preview window"
en,EX commands,:pt[ag],show tag in preview window
en,EX commands,:ptf[irst],|:trewind| in preview window
en,EX commands,:ptj[ump],|:tjump| and show tag in preview window
en,EX commands,:ptl[ast],|:tlast| in preview window
en,EX commands,:ptn[ext],|:tnext| in preview window
en,EX commands,:ptN[ext],|:tNext| in preview window
en,EX commands,:ptp[revious],|:tprevious| in preview window
en,EX commands,:ptr[ewind],|:trewind| in preview window
en,EX commands,:pts[elect],|:tselect| and show tag in preview window
en,EX commands,:pu[t],insert contents of register in the text
en,EX commands,:pw[d],print current directory
en,EX commands,:py3,execute Python 3 command
en,EX commands,:py3f[ile],execute Python 3 script file
en,EX commands,:pyf[ile],execute Python script file
en,EX commands,:py[thon],execute Python command
en,EX commands,:python3,same as :py3
en,EX commands,:qa[ll],quit Vim
en,EX commands,:q[uit],quit current window (when one window quit Vim)
en,EX commands,:quita[ll],quit Vim
en,EX commands,:r[ead],read file into the text
en,EX commands,:rec[over],recover a file from a swap file
en,EX commands,:redi[r],redirect messages to a file or register
en,EX commands,:red[o],redo one undone change
en,EX commands,:redr[aw],force a redraw of the display
en,EX commands,:redraws[tatus],force a redraw of the status line(s)
en,EX commands,:reg[isters],display the contents of registers
en,EX commands,:res[ize],change current window height
en,EX commands,:ret[ab],change tab size
en,EX commands,:retu[rn],return from a user function
en,EX commands,:rew[ind],go to the first file in the argument list
en,EX commands,:ri[ght],right align text
en,EX commands,:rightb[elow],make split window appear right or below
en,EX commands,:rub[y],execute Ruby command
en,EX commands,:rubyd[o],execute Ruby command for each line
en,EX commands,:rubyf[ile],execute Ruby script file
en,EX commands,:rund[o],read undo information from a file
en,EX commands,:ru[ntime],source vim scripts in 'runtimepath'
en,EX commands,:rv[iminfo],read from viminfo file
en,EX commands,:sal[l],open a window for each file in argument list
en,EX commands,:san[dbox],execute a command in the sandbox
en,EX commands,:sa[rgument],split window and go to specific file in argument list
en,EX commands,:sav[eas],save file under another name.
en,EX commands,:sba[ll],open a window for each file in the buffer list
en,EX commands,:sbf[irst],split window and go to first file in the buffer list
en,EX commands,:sbl[ast],split window and go to last file in buffer list
en,EX commands,:sbm[odified],split window and go to modified file in the buffer list
en,EX commands,:sbn[ext],split window and go to next file in the buffer list
en,EX commands,:sbN[ext],split window and go to previous file in the buffer list
en,EX commands,:sbp[revious],split window and go to previous file in the buffer list
en,EX commands,:sbr[ewind],split window and go to first file in the buffer list
en,EX commands,:sb[uffer],split window and go to specific file in the buffer list
en,EX commands,:scripte[ncoding],encoding used in sourced Vim script
en,EX commands,:scrip[tnames],list names of all sourced Vim scripts
en,EX commands,:scs[cope],split window and execute cscope command
en,EX commands,:se[t],show or set options
en,EX commands,:setf[iletype],"set 'filetype', unless it was set already"
en,EX commands,:setg[lobal],show global values of options
en,EX commands,:setl[ocal],show or set options locally
en,EX commands,:sf[ind],split current window and edit file in 'path'
en,EX commands,:sfir[st],split window and go to first file in the argument list
en,EX commands,:sh[ell],escape to a shell
en,EX commands,:sig[n],manipulate signs
en,EX commands,:sil[ent],run a command silently
en,EX commands,:sim[alt],Win32 GUI: simulate Windows ALT key
en,EX commands,:sla[st],split window and go to last file in the argument list
en,EX commands,:sl[eep],do nothing for a few seconds
en,EX commands,:sm[agic],:substitute with 'magic'
en,EX commands,:sma[p],"like "":map"" but for Select mode"
en,EX commands,:smapc[lear],remove all mappings for Select mode
en,EX commands,:sme[nu],add menu for Select mode
en,EX commands,:sn[ext],split window and go to next file in the argument list
en,EX commands,:sN[ext],split window and go to previous file in argument list
en,EX commands,:sni[ff],send request to sniff
en,EX commands,:sno[magic],:substitute with 'nomagic'
en,EX commands,:snor[emap],"like "":noremap"" but for Select mode"
en,EX commands,:snoreme[nu],"like "":noremenu"" but for Select mode"
en,EX commands,:sor[t],sort lines
en,EX commands,:so[urce],read Vim or Ex commands from a file
en,EX commands,:spelld[ump],split window and fill with all correct words
en,EX commands,:spe[llgood],add good word for spelling
en,EX commands,:spelli[nfo],show info about loaded spell files
en,EX commands,:spellr[epall],replace all bad words like last |z=|
en,EX commands,:spellu[ndo],remove good or bad word
en,EX commands,:spellw[rong],add spelling mistake
en,EX commands,:sp[lit],split current window
en,EX commands,:spr[evious],split window and go to previous file in the argument list
en,EX commands,:sre[wind],split window and go to first file in the argument list
en,EX commands,:sta[g],split window and jump to a tag
en,EX commands,:startg[replace],start Virtual Replace mode
en,EX commands,:star[tinsert],start Insert mode
en,EX commands,:startr[eplace],start Replace mode
en,EX commands,:stj[ump],"do "":tjump"" and split window"
en,EX commands,:st[op],suspend the editor or escape to a shell
en,EX commands,:stopi[nsert],stop Insert mode
en,EX commands,:sts[elect],"do "":tselect"" and split window"
en,EX commands,:s[ubstitute],find and replace text
en,EX commands,:sun[hide],"same as "":unhide"""
en,EX commands,:sunm[ap],"like "":unmap"" but for Select mode"
en,EX commands,:sunme[nu],remove menu for Select mode
en,EX commands,:sus[pend],"same as "":stop"""
en,EX commands,:sv[iew],split window and edit file read-only
en,EX commands,:sw[apname],show the name of the current swap file
en,EX commands,:sync[bind],sync scroll binding
en,EX commands,:sy[ntax],syntax highlighting
en,EX commands,:t,"same as "":copy"""
en,EX commands,:tab,create new tab when opening new window
en,EX commands,:tabc[lose],close current tab page
en,EX commands,:tabdo,execute command in each tab page
en,EX commands,:tabe[dit],edit a file in a new tab page
en,EX commands,:tabf[ind],"find file in 'path', edit it in a new tab page"
en,EX commands,:tabfir[st],got to first tab page
en,EX commands,:tabl[ast],got to last tab page
en,EX commands,:tabm[ove],move tab page to other position
en,EX commands,:tabnew,edit a file in a new tab page
en,EX commands,:tabn[ext],go to next tab page
en,EX commands,:tabN[ext],go to previous tab page
en,EX commands,:tabo[nly],close all tab pages except the current one
en,EX commands,:tabp[revious],go to previous tab page
en,EX commands,:tabr[ewind],got to first tab page
en,EX commands,:tabs,list the tab pages and what they contain
en,EX commands,:ta[g],jump to tag
en,EX commands,:tags,show the contents of the tag stack
en,EX commands,:tc[l],execute Tcl command
en,EX commands,:tcld[o],execute Tcl command for each line
en,EX commands,:tclf[ile],execute Tcl script file
en,EX commands,:te[aroff],tear-off a menu
en,EX commands,:tf[irst],jump to first matching tag
en,EX commands,:th[row],throw an exception
en,EX commands,:tj[ump],"like "":tselect"", but jump directly when there is only one match"
en,EX commands,:tl[ast],jump to last matching tag
en,EX commands,:tm[enu],define menu tooltip
en,EX commands,:tn[ext],jump to next matching tag
en,EX commands,:tN[ext],jump to previous matching tag
en,EX commands,:to[pleft],make split window appear at top or far left
en,EX commands,:tp[revious],jump to previous matching tag
en,EX commands,:tr[ewind],jump to first matching tag
en,EX commands,:try,"execute commands, abort on error or exception"
en,EX commands,:ts[elect],list matching tags and select one
en,EX commands,:tu[nmenu],remove menu tooltip
en,EX commands,:una[bbreviate],remove abbreviation
en,EX commands,:u[ndo],undo last change(s)
en,EX commands,:undoj[oin],join next change with previous undo block
en,EX commands,:undol[ist],list leafs of the undo tree
en,EX commands,:unh[ide],open a window for each loaded file in the buffer list
en,EX commands,:unl[et],delete variable
en,EX commands,:unlo[ckvar],unlock variables
en,EX commands,:unm[ap],remove mapping
en,EX commands,:unme[nu],remove menu
en,EX commands,:uns[ilent],run a command not silently
en,EX commands,:up[date],write buffer if modified
en,EX commands,:verb[ose],execute command with 'verbose' set
en,EX commands,:ve[rsion],print version number and other info
en,EX commands,:vert[ical],make following command split vertically
en,EX commands,:v[global],execute commands for not matching lines
en,EX commands,:vie[w],edit a file read-only
en,EX commands,:vim[grep],search for pattern in files
en,EX commands,:vimgrepa[dd],"like :vimgrep, but append to current list"
en,EX commands,:vi[sual],"same as "":edit"", but turns off ""Ex"" mode"
en,EX commands,:viu[sage],overview of Normal mode commands
en,EX commands,:vm[ap],"like "":map"" but for Visual+Select mode"
en,EX commands,:vmapc[lear],remove all mappings for Visual+Select mode
en,EX commands,:vme[nu],add menu for Visual+Select mode
en,EX commands,:vne[w],"create a new empty window, vertically split"
en,EX commands,:vn[oremap],"like "":noremap"" but for Visual+Select mode"
en,EX commands,:vnoreme[nu],"like "":noremenu"" but for Visual+Select mode"
en,EX commands,:vs[plit],split current window vertically
en,EX commands,:vu[nmap],"like "":unmap"" but for Visual+Select mode"
en,EX commands,:vunme[nu],remove menu for Visual+Select mode
en,EX commands,:wa[ll],write all (changed) buffers
en,EX commands,:wh[ile],execute loop for as long as condition met
en,EX commands,:winc[md],execute a Window (CTRL-W) command
en,EX commands,:windo,execute command in each window
en,EX commands,:winp[os],get or set window position
en,EX commands,:wi[nsize],get or set window size (obsolete)
