language,mode,command,description
tw,EX 指令,:en[dif],結束最近的 :if。
tw,EX 指令,:endt[ry],結束最近的 :try。
tw,EX 指令,:endw[hile],結束最近的 :while。
tw,EX 指令,:ene[w],編輯新的無名緩衝區。
tw,EX 指令,:ex,"等同於 "":edit""。"
tw,EX 指令,:exe[cute],執行表達式的結果產生的字元串。
tw,EX 指令,:exi[t],"等同於 "":xit""。"
tw,EX 指令,:exu[sage],Ex 指令總覽。
tw,EX 指令,:f[ile],顯示或者設定當前檔名。
tw,EX 指令,:files,列出緩衝區清單的所有檔案。
tw,EX 指令,:filet[ype],切換檔案類型檢測的開啟/關閉。
tw,EX 指令,:fina[lly],:try 指令的一部分。
tw,EX 指令,:fin[d],在 'path' 裡找尋檔案並編輯之。
tw,EX 指令,:fini[sh],退出 Vim 腳本的執行。
tw,EX 指令,:fir[st],轉到參數清單的第一個檔案。
tw,EX 指令,:fix[del],設定 <Del> 的鍵碼。
tw,EX 指令,:fo[ld],建立摺疊。
tw,EX 指令,:foldc[lose],關閉摺疊。
tw,EX 指令,:folddoc[losed],對所有在關閉摺疊的行執行指令。
tw,EX 指令,:foldd[oopen],對所有不在關閉摺疊的行執行指令。
tw,EX 指令,:foldo[pen],開啟摺疊。
tw,EX 指令,:for,for 循環。
tw,EX 指令,:fu[nction],定義用戶函數。
tw,EX 指令,:g[lobal],對符合的行執行指令。
tw,EX 指令,:go[to],轉到緩衝區某字節處。
tw,EX 指令,:gr[ep],執行 'grepprg' 並轉到第一個符合處。
tw,EX 指令,:grepa[dd],類似 :grep，但附加到當前清單後。
tw,EX 指令,:gu[i],啟動 GUI。
tw,EX 指令,:gv[im],啟動 GUI。
tw,EX 指令,:ha[rdcopy],發送內容到印表機。
tw,EX 指令,:h[elp],開啟說明視窗。
tw,EX 指令,:helpf[ind],開啟顯示說明視窗的對話框。
tw,EX 指令,:helpg[rep],"類似於 "":grep""，但搜尋說明檔案。"
tw,EX 指令,:helpt[ags],為一個目錄產生說明標籤。
tw,EX 指令,:hid[e],為一個指令隱藏該緩衝區。
tw,EX 指令,:hi[ghlight],指定高亮 (highlight) 方法。
tw,EX 指令,:his[tory],顯示歷史清單。
tw,EX 指令,:ia[bbrev],"類似於 "":abbrev""，但用於插入模式。"
tw,EX 指令,:iabc[lear],"類似於 "":abclear""，但用於插入模式。"
tw,EX 指令,:if,條件滿足時執行指令。
tw,EX 指令,:ij[ump],跳轉到標識符號的定義。
tw,EX 指令,:il[ist],列出符合標識符號的行。
tw,EX 指令,:im[ap],"類似於 "":map""，但用於插入模式。"
tw,EX 指令,:imapc[lear],"類似於 "":map""，但用於插入模式。"
tw,EX 指令,:ime[nu],為插入模式增加選單。
tw,EX 指令,:inorea[bbrev],"類似於 "":noreabbrev""，但用於插入模式。"
tw,EX 指令,:ino[remap],"類似於 "":noremap""，但用於插入模式。"
tw,EX 指令,:inoreme[nu],"類似於 "":noremenu""，但用於插入模式。"
tw,EX 指令,:i[nsert],插入 text。
tw,EX 指令,:int[ro],顯示介紹文字。
tw,EX 指令,:is[earch],列出符合標識符號的一行。
tw,EX 指令,:isp[lit],分割視窗，並跳轉到標識符號的定義。
tw,EX 指令,:iuna[bbrev],"類似於 "":unabbrev""，但用於插入模式。"
tw,EX 指令,:iu[nmap],"類似於 "":unmap""，但用於插入模式。"
tw,EX 指令,:iunme[nu],刪除插入模式的選單。
tw,EX 指令,:j[oin],連接行。
tw,EX 指令,:ju[mps],顯示跳轉表。
tw,EX 指令,:k,設定位置標記。
tw,EX 指令,:keepa[lt],跟隨的指令保持輪換檔案不變。
tw,EX 指令,:keepj[jumps],跟隨的指令保持跳轉表和位置標記不變。
tw,EX 指令,:kee[pmarks],跟隨的指令保持位置標記不變。
tw,EX 指令,:laddb[uffer],通過緩衝區補充位置。
tw,EX 指令,:lad[dexpr],通過表達式補充位置。
tw,EX 指令,:laddf[ile],把位置加到當前位置清單裡。
tw,EX 指令,:lan[guage],設定語言 (locale)。
tw,EX 指令,:la[st],轉到參數清單的最後一個檔案。
tw,EX 指令,:lat[er],轉到新的變更，重做。
tw,EX 指令,:lb[uffer],分析位置並跳轉到第一個位置。
tw,EX 指令,:lc[d],變更本地的目錄。
tw,EX 指令,:lch[dir],變更本地的目錄。
tw,EX 指令,:lcl[ose],關閉位置視窗。
tw,EX 指令,:lcs[cope],"類似於 "":cscope""，但使用位置清單。"
tw,EX 指令,:le[ft],左對齊行。
tw,EX 指令,:lefta[bove],使得分割的視窗出現在左側或者上方。
tw,EX 指令,:let,給變數或選項賦值。
tw,EX 指令,:lex[pr],從表達式裡讀取位置並跳轉到第一個。
tw,EX 指令,:lf[ile],從檔案裡讀取位置並跳轉到第一個。
tw,EX 指令,:lfir[st],轉到指定的位置上，預設第一個。
tw,EX 指令,:lgetb[uffer],從緩衝區裡讀取位置。
tw,EX 指令,:lgete[xpr],從表達式裡讀取位置。
tw,EX 指令,:lg[etfile],從檔案裡讀取位置。
tw,EX 指令,:lgr[ep],運行 'grepprg' 並跳轉到第一個符合。
tw,EX 指令,:lgrepa[dd],類似於 :grep，但附加到當前清單上。
tw,EX 指令,:lh[elpgrep],"類似於 "":helpgrep""，但使用位置清單。"
tw,EX 指令,:l[ist],顯示行。
tw,EX 指令,:ll,轉到指定位置。
tw,EX 指令,:lla[st],轉到指定位置，預設最後一個。
tw,EX 指令,:lli[st],列出所有的位置。
tw,EX 指令,:lmak[e],執行外部指令 'makeprg' 並分析錯誤訊息。
tw,EX 指令,:lm[ap],"類似於 "":map!""，但包括 Lang-Arg 模式。"
tw,EX 指令,:lmapc[lear],"類似於 "":mapclear!""，但包括 Lang-Arg 模式。"
tw,EX 指令,:lnew[er],跳到較新的位置清單。
tw,EX 指令,:lne[xt],跳到下一個位置。
tw,EX 指令,:lN[ext],轉到位置清單的上一個位置。
tw,EX 指令,:lnf[ile],跳到下一個檔案的第一個位置。
tw,EX 指令,:lNf[ile],轉到上個檔案的最近一個位置。
tw,EX 指令,:ln[oremap],"類似於 "":noremap!""，但包括 Lang-Arg 模式。"
tw,EX 指令,:loadk[eymap],載入後面的鍵盤映射表，直到 EOF 為止。
tw,EX 指令,:lo[adview],從檔案裡為當前視窗載入視圖。
tw,EX 指令,:loc[kmarks],跟隨的指令保持位置標記不變。
tw,EX 指令,:lockv[ar],給變數加鎖。
tw,EX 指令,:lol[der],轉到較舊的位置清單。
tw,EX 指令,:lope[n],開啟位置視窗。
tw,EX 指令,:lpf[ile],轉到上一個檔案的最近的位置。
tw,EX 指令,:lp[revious],轉到前一個位置。
tw,EX 指令,:lr[ewind],轉到指定的位置，預設第一個。
tw,EX 指令,:ls,列出所有的緩衝區。
tw,EX 指令,:lt[ag],跳轉到標籤，並把符合的標籤加到位置清單上。
tw,EX 指令,:lua,執行 |Lua| 指令。
tw,EX 指令,:luad[o],對每行都執行 Lua 指令。
tw,EX 指令,:luaf[ile],執行 |Lua| 指令檔。
tw,EX 指令,:lu[nmap],"類似於 "":unmap!""，但包括 Lang-Arg 模式。"
tw,EX 指令,:lv[imgrep],在若干檔案裡搜尋模式。
tw,EX 指令,:lvimgrepa[dd],類似於 :vimgrep，但附加到當前清單。
tw,EX 指令,:lw[indow],開啟或關閉位置視窗。
tw,EX 指令,:mak[e],執行外部指令 'makeprg' 並分析其錯誤訊息。
tw,EX 指令,:map,顯示或者輸入映射。
tw,EX 指令,:mapc[lear],清除所有普通和可視模式的映射。
tw,EX 指令,:ma[rk],設定位置標記。
tw,EX 指令,:marks,列出所有的位置標記。
tw,EX 指令,:mat[ch],定義要高亮 (highlight) 顯示的符合的模式。
tw,EX 指令,:me[nu],輸入新的選單項。
tw,EX 指令,:menut[ranslate],增加選單翻譯項目。
tw,EX 指令,:mes[sages],顯示以前顯示的消息。
tw,EX 指令,:mk[exrc],寫入當前映射和設定到檔案。
tw,EX 指令,:mks[ession],寫入 session 資訊到檔案。
tw,EX 指令,:mksp[ell],生成 .spl 拼寫檔案。
tw,EX 指令,:mkvie[w],寫入當前視窗的視圖到檔案。
tw,EX 指令,:mkv[imrc],寫入當前映射和設定到檔案。
tw,EX 指令,:mod[e],顯示或者變更畫面模式。
tw,EX 指令,:m[ove],移動行。
tw,EX 指令,:mzf[ile],執行 MzScheme 指令檔。
tw,EX 指令,:mz[scheme],執行 MzScheme 指令。
tw,EX 指令,:nbc[lose],關閉當前 Netbeans 會話。
tw,EX 指令,:nb[key],傳遞一個鍵給 Netbeans。
tw,EX 指令,:nbs[art],開啟一個新的 Netbeans 會話。
tw,EX 指令,:new,建立一個新的空白視窗。
tw,EX 指令,:n[ext],跳轉到參數清單的下一個檔案。
tw,EX 指令,:N[ext],轉到參數清單的上一個檔案。
tw,EX 指令,:nm[ap],"類似於 "":map""，但使用一般模式。"
tw,EX 指令,:nmapc[lear],清除一般模式的所有映射。
tw,EX 指令,:nme[nu],為一般模式增加選單。
tw,EX 指令,:nn[oremap],"類似於 "":noremap""，但使用一般模式。"
tw,EX 指令,:nnoreme[nu],"類似於 "":noremenu""，但使用一般模式。"
tw,EX 指令,:noa[utocmd],跟隨的指令不啟用自動指令。
tw,EX 指令,:noh[lsearch],暫停 'hlsearch' 高亮 (highlight) 。
tw,EX 指令,:norea[bbrev],輸入不會被重新映射的縮寫。
tw,EX 指令,:no[remap],輸入不會被重新映射的映射。
tw,EX 指令,:noreme[nu],輸入不會被重新映射的選單。
tw,EX 指令,:norm[al],執行一般模式的指令。
tw,EX 指令,:nu[mber],顯示 text 行時給出行號。
tw,EX 指令,:nun[map],"類似於 "":unmap""，但使用一般模式。"
tw,EX 指令,:nunme[nu],刪除一般模式的選單。
tw,EX 指令,:ol[dfiles],列出 viminfo 檔案中包含位置標記的檔案。
tw,EX 指令,:om[ap],"類似於 "":map""，但使用操作符等待模式。"
tw,EX 指令,:omapc[lear],刪除操作符等待模式的所有映射。
tw,EX 指令,:ome[nu],為操作符等待模式增加選單。
tw,EX 指令,:on[ly],關閉當前視窗，除了當前的視窗以外。
tw,EX 指令,:ono[remap],"類似於 "":noremap""，但使用操作符等待模式。"
tw,EX 指令,:onoreme[nu],"類似於 "":noremenu""，但使用操作符等待模式。"
tw,EX 指令,:o[pen],啟動開啟模式 (沒有實現)。
tw,EX 指令,:opt[ions],開啟選項視窗。
tw,EX 指令,:ou[nmap],"類似於 "":unmap""，但使用操作符等待模式。"
tw,EX 指令,:ounme[nu],刪除操作符等待模式的選單。
tw,EX 指令,:ow[nsyntax],為本視窗設定新的局部語法高亮 (highlight) 。
tw,EX 指令,:pc[lose],關閉預覽視窗。
tw,EX 指令,:ped[it],在預覽視窗編輯檔案。
tw,EX 指令,:pe[rl],執行 Perl 指令。
tw,EX 指令,:perld[o],對每行都執行 Perl 指令。
tw,EX 指令,:po[p],跳轉到標籤棧較舊的項目上。
tw,EX 指令,:pop[up],根據名字彈出選單。
tw,EX 指令,:pp[op],"在預覽視窗 "":pop""。"
tw,EX 指令,:pre[serve],寫入所有 text 到交換檔案。
tw,EX 指令,:prev[ious],跳轉到參數清單裡的上一個檔案。
tw,EX 指令,:p[rint],顯示行。
tw,EX 指令,:P[rint],顯示行。
tw,EX 指令,:profd[el],停止剖視 (profile) 函數或腳本。
tw,EX 指令,:prof[ile],剖視 (profile) 函數或腳本。
tw,EX 指令,:pro[mptfind],開啟 GUI 對話框進行搜尋。
tw,EX 指令,:promptr[epl],開啟 GUI 對話框進行搜尋/替代。
tw,EX 指令,:ps[earch],"類似於 "":ijump""，但在預覽視窗顯示符合。"
tw,EX 指令,:pt[ag],在預覽視窗顯示標籤。
tw,EX 指令,:ptf[irst],在預覽視窗 |:trewind|。
tw,EX 指令,:ptj[ump],在預覽視窗 |:tjump| 和顯示標籤。
tw,EX 指令,:ptl[ast],在預覽視窗 |:tlast|。
tw,EX 指令,:ptn[ext],在預覽視窗 |:tnext|。
tw,EX 指令,:ptN[ext],在預覽視窗 |:tNext|。
tw,EX 指令,:ptp[revious],在預覽視窗 |:tprevious|。
tw,EX 指令,:ptr[ewind],在預覽視窗 |:trewind|。
tw,EX 指令,:pts[elect],在預覽視窗 |:tselect| 和顯示標籤。
tw,EX 指令,:pu[t],插入暫存器的內容到 text。
tw,EX 指令,:pw[d],顯示當前目錄。
tw,EX 指令,:py3,執行 Python 3 指令。
tw,EX 指令,:py3f[ile],執行 Python 3 指令檔。
tw,EX 指令,:pyf[ile],執行 Python 指令檔。
tw,EX 指令,:py[thon],執行 Python 指令。
tw,EX 指令,:python3,同 :py3。
tw,EX 指令,:qa[ll],退出 Vim。
tw,EX 指令,:q[uit],退出當前視窗 (如果只有一視窗，則退出 Vim)。
tw,EX 指令,:quita[ll],退出 Vim。
tw,EX 指令,:r[ead],讀入檔案內容。
tw,EX 指令,:rec[over],從 swap 檔裡還原檔案。
tw,EX 指令,:redi[r],重定向消息到檔案或者暫存器。
tw,EX 指令,:red[o],重做一次還原的變更。
tw,EX 指令,:redr[aw],強迫顯示的重繪。
tw,EX 指令,:redraws[tatus],強迫狀態列的重繪。
tw,EX 指令,:reg[isters],顯示暫存器的內容。
tw,EX 指令,:res[ize],變更當前視窗的高度。
tw,EX 指令,:ret[ab],變更製表大小。
tw,EX 指令,:retu[rn],從用戶函數返回。
tw,EX 指令,:rew[ind],轉到參數清單的第一個檔案。
tw,EX 指令,:ri[ght],右對齊 text。
tw,EX 指令,:rightb[elow],使得分割視窗出現在右側或者下方。
tw,EX 指令,:rub[y],執行 Ruby 指令。
tw,EX 指令,:rubyd[o],對每行執行 Ruby 指令。
tw,EX 指令,:rubyf[ile],執行 Ruby 指令檔。
tw,EX 指令,:rund[o],從檔案裡讀入還原資訊。
tw,EX 指令,:ru[ntime],執行 'runtimepath' 裡的 vim 腳本。
tw,EX 指令,:rv[iminfo],讀取 viminfo 檔案。
tw,EX 指令,:sal[l],為參數清單的每個檔案開啟視窗。
tw,EX 指令,:san[dbox],在沙盤裡執行指令。
tw,EX 指令,:sa[rgument],分割視窗並轉到參數清單的某一個檔案。
tw,EX 指令,:sav[eas],用別的名字保存檔案。
tw,EX 指令,:sba[ll],為緩衝區清單的每個檔案開啟視窗。
tw,EX 指令,:sbf[irst],分割視窗並轉到緩衝區清單的第一個檔案。
tw,EX 指令,:sbl[ast],分割視窗並轉到緩衝區清單的最後一個檔案。
tw,EX 指令,:sbm[odified],分割視窗並轉到緩衝區清單的修改過的檔案。
tw,EX 指令,:sbn[ext],分割視窗並轉到緩衝區清單的後一個檔案。
tw,EX 指令,:sbN[ext],分割視窗並轉到緩衝區清單的前一個檔案。
tw,EX 指令,:sbp[revious],分割視窗並轉到緩衝區清單的前一個檔案。
tw,EX 指令,:sbr[ewind],分割視窗並轉到緩衝區清單的第一個檔案。
tw,EX 指令,:sb[uffer],分割視窗並轉到緩衝區清單的某一個檔案。
tw,EX 指令,:scripte[ncoding],執行過的 Vim 腳本使用的編碼。
tw,EX 指令,:scrip[tnames],列出所有執行過的 Vim 腳本的名字。
tw,EX 指令,:scs[cope],分割視窗並執行 cscope 指令。
tw,EX 指令,:se[t],顯示或設定選項。
tw,EX 指令,:setf[iletype],設定 'filetype'，除非已經設定過。
tw,EX 指令,:setg[lobal],顯示或者設定全域選項值。
tw,EX 指令,:setl[ocal],顯示或者設定本地選項值。
tw,EX 指令,:sf[ind],分割當前視窗並編輯 'path' 的檔案。
tw,EX 指令,:sfir[st],分割視窗並轉到參數清單的第一個檔案。
tw,EX 指令,:sh[ell],切換到 shell。
tw,EX 指令,:sig[n],操作標號。
tw,EX 指令,:sil[ent],安靜地運行指令。
tw,EX 指令,:sim[alt],Win32 GUI: 模擬 Windows ALT 鍵。
tw,EX 指令,:sla[st],分割視窗並轉到參數清單的最後一個檔案。
tw,EX 指令,:sl[eep],幾秒內不作任何事。
tw,EX 指令,:sm[agic],帶 'magic' 的 :substitute。
tw,EX 指令,:sma[p],"類似於 "":map""，但用於選擇模式。"
tw,EX 指令,:smapc[lear],刪除選擇模式所有的映射。
tw,EX 指令,:sme[nu],增加選擇模式選單。
tw,EX 指令,:sn[ext],分割視窗並轉到參數清單的下一個檔案。
tw,EX 指令,:sN[ext],分割視窗並轉到參數清單的前一個檔案。
tw,EX 指令,:sni[ff],發送請求到 sniff。
tw,EX 指令,:sno[magic],帶 'nomagic' 的 :substitute。
tw,EX 指令,:snor[emap],"類似於 "":noremap""，但用於選擇模式。"
tw,EX 指令,:snoreme[nu],"類似於 "":noremenu""，但用於選擇模式。"
tw,EX 指令,:sor[t],給行排序。
tw,EX 指令,:so[urce],從檔案裡讀取 Vim 或 Ex 指令。
tw,EX 指令,:spelld[ump],分割視窗並用正確的單字填充。
tw,EX 指令,:spe[llgood],增加拼寫的好詞。
tw,EX 指令,:spelli[nfo],顯示載入的拼寫檔案的資訊。
tw,EX 指令,:spellr[epall],像上次 |z=| 那樣，但替換所有的壞詞。
tw,EX 指令,:spellu[ndo],刪除好詞或壞詞。
tw,EX 指令,:spellw[rong],增加拼字錯誤。
tw,EX 指令,:sp[lit],分割當前視窗。
tw,EX 指令,:spr[evious],分割視窗並轉到參數清單的前一個檔案。
tw,EX 指令,:sre[wind],分割視窗並轉到參數清單的第一個檔案。
tw,EX 指令,:sta[g],分割視窗並跳轉到標籤上。
tw,EX 指令,:startg[replace],開始虛擬替換模式。
tw,EX 指令,:star[tinsert],開始插入模式。
tw,EX 指令,:startr[eplace],開始替換模式。
tw,EX 指令,:stj[ump],"執行 "":tjump"" 並分割視窗。"
tw,EX 指令,:st[op],暫停編輯器並退回 shell。
tw,EX 指令,:stopi[nsert],退出插入模式。
tw,EX 指令,:sts[elect],"執行 "":tselect"" 並分割視窗。"
tw,EX 指令,:s[ubstitute],尋找和替代 text。
tw,EX 指令,:sun[hide],"等同於 "":unhide""。"
tw,EX 指令,:sunm[ap],"類似於 "":unmap""，但用於選擇模式。"
tw,EX 指令,:sunme[nu],刪除選擇模式的選單。
tw,EX 指令,:sus[pend],"等同於 "":stop""。"
tw,EX 指令,:sv[iew],分割視窗並以唯讀模式編輯檔案。
tw,EX 指令,:sw[apname],顯示當前交換檔案的名字。
tw,EX 指令,:sync[bind],同步滾動綁定。
tw,EX 指令,:sy[ntax],語法高亮 (highlight) 。
tw,EX 指令,:t,"等同於 "":copy""。"
tw,EX 指令,:tab,開啟新視窗時建立新分頁。
tw,EX 指令,:tabc[lose],關閉當前標籤頁。
tw,EX 指令,:tabdo,為每個標籤頁執行指令。
tw,EX 指令,:tabe[dit],在新標籤頁裡編輯檔案。
tw,EX 指令,:tabf[ind],尋找 'path' 裡的檔案，在新標籤頁裡編輯之。
tw,EX 指令,:tabfir[st],轉到第一個標籤頁。
tw,EX 指令,:tabl[ast],轉到最後一個標籤頁。
tw,EX 指令,:tabm[ove],把標籤頁移到別的位置。
tw,EX 指令,:tabnew,在新標籤頁裡編輯檔案。
tw,EX 指令,:tabn[ext],轉到下一個標籤頁。
