language,mode,command,description
cn,EX 命令,:bw[ipeout],真正删除一个缓冲区
cn,EX 命令,:ca[bbrev],"类似于 "":abbreviate""，但用于命令行模式"
cn,EX 命令,:cabc[lear],清除所有缩写，用于命令行模式
cn,EX 命令,:caddb[uffer],通过缓冲区补充错误
cn,EX 命令,:cad[dexpr],通过表达式补充错误
cn,EX 命令,:caddf[ile],加入错误信息到当前 quickfix 列表
cn,EX 命令,:cal[l],调用函数
cn,EX 命令,:cat[ch],:try 命令的一部分
cn,EX 命令,:cb[uffer],分析错误信息并跳转到第一个
cn,EX 命令,:cc,跳转到特定的错误
cn,EX 命令,:ccl[ose],关闭 quickfix 窗口
cn,EX 命令,:cd,改变目录
cn,EX 命令,:ce[nter],排版行，使其居中对齐
cn,EX 命令,:cex[pr],从表达式里读取错误并跳转到第一个
cn,EX 命令,:cf[ile],读入含有错误信息的文件，并跳转到第一个
cn,EX 命令,:cfir[st],跳转到指定的错误上，缺省为第一个
cn,EX 命令,:cgetb[uffer],从缓冲区里得到错误
cn,EX 命令,:cgete[xpr],从表达实里得到错误
cn,EX 命令,:cg[etfile],读入含有错误信息的文件
cn,EX 命令,:c[hange],替换一行或若干行
cn,EX 命令,:cha[nges],显示修改的列表
cn,EX 命令,:chd[ir],改变当前目录
cn,EX 命令,:che[ckpath],列出包含的头文件
cn,EX 命令,:checkt[ime],检查载入缓冲区的时间标签
cn,EX 命令,:cla[st],跳转到指定的错误上，缺省为最后一个
cn,EX 命令,:cl[ist],列出所有错误
cn,EX 命令,:clo[se],改变当前窗口
cn,EX 命令,:cm[ap],"类似于 "":map""，但用于命令行模式"
cn,EX 命令,:cmapc[lear],清除所有映射，用于命令行模式
cn,EX 命令,:cme[nu],为命令行模式增加菜单
cn,EX 命令,:cnew[er],跳转到下一个较新的错误列表
cn,EX 命令,:cn[ext],跳转到下一个错误
cn,EX 命令,:cN[ext],跳转到上一个错误
cn,EX 命令,:cnf[ile],跳转到下一个文件的第一个错误
cn,EX 命令,:cNf[ile],跳转到前一个文件的最后一个错误
cn,EX 命令,:cnorea[bbrev],"类似于 "":noreabbrev""，但用于命令行模式"
cn,EX 命令,:cno[remap],"类似于 "":noremap""，但用于命令行模式"
cn,EX 命令,:cnoreme[nu],"类似于 "":noremenu""，但用于命令行模式"
cn,EX 命令,:col[der],跳转到上一个较老的错误列表
cn,EX 命令,:colo[rscheme],载入特定的色彩方案
cn,EX 命令,:comc[lear],清除所有用户自定的命令
cn,EX 命令,:com[mand],建立用户自定的命令
cn,EX 命令,:comp[iler],为特定编译器设定选项
cn,EX 命令,:conf[irm],需要确认时，提示用户
cn,EX 命令,:con[tinue],回到 :while 开始处
cn,EX 命令,:cope[n],打开 quickfix 窗口
cn,EX 命令,:co[py],复制行
cn,EX 命令,:cpf[ile],跳转到上一个文件的最后一个错误
cn,EX 命令,:cp[revious],跳转到上一个错误
cn,EX 命令,:cq[uit],退出 Vim，带错误码
cn,EX 命令,:cr[ewind],跳到指定的错误，缺省为第一个
cn,EX 命令,:cs[cope],执行 cscope 命令
cn,EX 命令,:cst[ag],使用 cscope 来跳转到标签上
cn,EX 命令,:cuna[bbrev],"类似于 "":unabbrev""，但用于命令行模式"
cn,EX 命令,:cu[nmap],"类似于 "":unmap""，但用于命令行模式"
cn,EX 命令,:cunme[nu],删除命令行的菜单
cn,EX 命令,:cw[indow],打开或者关闭 quickfix 窗口
cn,EX 命令,:deb[ug],在调试模式执行命令
cn,EX 命令,:debugg[reedy],从正常的输入那里读取调试模式命令
cn,EX 命令,:delc[ommand],删除用户自定的命令
cn,EX 命令,:d[elete],删除行
cn,EX 命令,:delf[unction],删除用户函数
cn,EX 命令,:delm[arks],删除位置标记
cn,EX 命令,:diffg[et],删除当前缓冲区的所有差异
cn,EX 命令,:diffo[ff],关闭 diff 模式
cn,EX 命令,:diffp[atch],应用补丁然后显示差异
cn,EX 命令,:diffpu[t],删除另外一个缓冲区的差异
cn,EX 命令,:diffs[plit],显示和另外一个文件的差异
cn,EX 命令,:diffthis,使得当前窗口成为 diff 窗口
cn,EX 命令,:dif[fupdate],更新 'diff' 缓冲区
cn,EX 命令,:dig[raphs],显示或者输入二合字母
cn,EX 命令,:di[splay],显示寄存器
cn,EX 命令,:dj[ump],跳转到 #define
cn,EX 命令,:dl[ist],列出所有的 #define
cn,EX 命令,:doautoa[ll],在所有载入的缓冲区上应用自动命令
cn,EX 命令,:do[autocmd],在当前缓冲区应用自动命令
cn,EX 命令,:dr[op],跳到编辑某文件的窗口，不成功则在当前窗口编辑之
cn,EX 命令,:ds[earch],列出一个 #define
cn,EX 命令,:dsp[lit],分割窗口并跳转到 #define
cn,EX 命令,:ea[rlier],回到旧的改变，撤销
cn,EX 命令,:ec[ho],回显表达式结果
cn,EX 命令,:echoe[rr],类似于 :echo，如同错误一样显示和使用历史
cn,EX 命令,:echoh[l],为 echo 等命令设置高亮
cn,EX 命令,:echom[sg],等同于 :echo，在历史里放置消息
cn,EX 命令,:echon,等同于 :echo，但不留 <EOL>
cn,EX 命令,:e[dit],编辑文件
cn,EX 命令,:el[se],:if 命令的一部分
cn,EX 命令,:elsei[f],:if 命令的一部分
cn,EX 命令,:em[enu],按名字执行菜单
cn,EX 命令,:endfo[r],结束最近的 :for
cn,EX 命令,:endf[unction],结束用户函数
cn,EX 命令,:en[dif],结束最近的 :if
cn,EX 命令,:endt[ry],结束最近的 :try
cn,EX 命令,:endw[hile],结束最近的 :while
cn,EX 命令,:ene[w],编辑新的无名缓冲区
cn,EX 命令,:ex,"等同于 "":edit"""
cn,EX 命令,:exe[cute],执行表达式的结果产生的字符串
cn,EX 命令,:exi[t],"等同于 "":xit"""
cn,EX 命令,:exu[sage],Ex 命令总览
cn,EX 命令,:f[ile],显示或者设置当前文件名
cn,EX 命令,:files,列出缓冲区列表的所有文件
cn,EX 命令,:filet[ype],切换文件类型检测的打开/关闭
cn,EX 命令,:fina[lly],:try 命令的一部分
cn,EX 命令,:fin[d],在 'path' 里找寻文件并编辑之
cn,EX 命令,:fini[sh],退出 Vim 脚本的执行
cn,EX 命令,:fir[st],转到参数列表的第一个文件
cn,EX 命令,:fix[del],设置 <Del> 的键码
cn,EX 命令,:fo[ld],创建折叠
cn,EX 命令,:foldc[lose],关闭折叠
cn,EX 命令,:folddoc[losed],对所有在关闭折叠的行执行命令
cn,EX 命令,:foldd[oopen],对所有不在关闭折叠的行执行命令
cn,EX 命令,:foldo[pen],打开折叠
cn,EX 命令,:for,for 循环
cn,EX 命令,:fu[nction],定义用户函数
cn,EX 命令,:g[lobal],对匹配的行执行命令
cn,EX 命令,:go[to],转到缓冲区某字节处
cn,EX 命令,:gr[ep],执行 'grepprg' 并转到第一个匹配处
cn,EX 命令,:grepa[dd],类似 :grep，但附加到当前列表后
cn,EX 命令,:gu[i],启动 GUI
cn,EX 命令,:gv[im],启动 GUI
cn,EX 命令,:ha[rdcopy],发送文本到打印机
cn,EX 命令,:h[elp],打开帮助窗口
cn,EX 命令,:helpf[ind],打开显示帮助窗口的对话框
cn,EX 命令,:helpg[rep],"类似于 "":grep""，但搜索帮助文件"
cn,EX 命令,:helpt[ags],为一个目录产生帮助标签
cn,EX 命令,:hid[e],为一个命令隐藏当前缓冲区
cn,EX 命令,:hi[ghlight],指定高亮方法
cn,EX 命令,:his[tory],显示历史列表
cn,EX 命令,:ia[bbrev],"类似于 "":abbrev""，但用于插入模式"
cn,EX 命令,:iabc[lear],"类似于 "":abclear""，但用于插入模式"
cn,EX 命令,:if,条件满足时执行命令
cn,EX 命令,:ij[ump],跳转到标识符的定义
cn,EX 命令,:il[ist],列出匹配标识符的行
cn,EX 命令,:im[ap],"类似于 "":map""，但用于插入模式"
cn,EX 命令,:imapc[lear],"类似于 "":map""，但用于插入模式"
cn,EX 命令,:ime[nu],为插入模式增加菜单
cn,EX 命令,:inorea[bbrev],"类似于 "":noreabbrev""，但用于插入模式"
cn,EX 命令,:ino[remap],"类似于 "":noremap""，但用于插入模式"
cn,EX 命令,:inoreme[nu],"类似于 "":noremenu""，但用于插入模式"
cn,EX 命令,:i[nsert],插入文本
cn,EX 命令,:int[ro],显示介绍文字
cn,EX 命令,:is[earch],列出匹配标识符的一行
cn,EX 命令,:isp[lit],分割窗口，并跳转到标识符的定义
cn,EX 命令,:iuna[bbrev],"类似于 "":unabbrev""，但用于插入模式"
cn,EX 命令,:iu[nmap],"类似于 "":unmap""，但用于插入模式"
cn,EX 命令,:iunme[nu],删除插入模式的菜单
cn,EX 命令,:j[oin],连接行
cn,EX 命令,:ju[mps],显示跳转表
cn,EX 命令,:k,设置位置标记
cn,EX 命令,:keepa[lt],跟随的命令保持轮换文件不变
cn,EX 命令,:keepj[jumps],跟随的命令保持跳转表和位置标记不变
cn,EX 命令,:kee[pmarks],跟随的命令保持位置标记不变
cn,EX 命令,:laddb[uffer],通过缓冲区补充位置
cn,EX 命令,:lad[dexpr],通过表达式补充位置
cn,EX 命令,:laddf[ile],把位置加到当前位置列表里
cn,EX 命令,:lan[guage],设置语言 (locale)
cn,EX 命令,:la[st],转到参数列表的最后一个文件
cn,EX 命令,:lat[er],转到新的改变，重做
cn,EX 命令,:lb[uffer],分析位置并跳转到第一个位置
cn,EX 命令,:lc[d],改变本地的目录
cn,EX 命令,:lch[dir],改变本地的目录
cn,EX 命令,:lcl[ose],关闭位置窗口
cn,EX 命令,:lcs[cope],"类似于 "":cscope""，但使用位置列表"
cn,EX 命令,:le[ft],左对齐行
cn,EX 命令,:lefta[bove],使得分割的窗口出现在左侧或者上方
cn,EX 命令,:let,给变量或选项赋值
cn,EX 命令,:lex[pr],从表达式里读取位置并跳转到第一个
cn,EX 命令,:lf[ile],从文件里读取位置并跳转到第一个
cn,EX 命令,:lfir[st],转到指定的位置上，缺省第一个
cn,EX 命令,:lgetb[uffer],从缓冲区里读取位置
cn,EX 命令,:lgete[xpr],从表达式里读取位置
cn,EX 命令,:lg[etfile],从文件里读取位置
cn,EX 命令,:lgr[ep],运行 'grepprg' 并跳转到第一个匹配
cn,EX 命令,:lgrepa[dd],类似于 :grep，但附加到当前列表上
cn,EX 命令,:lh[elpgrep],"类似于 "":helpgrep""，但使用位置列表"
cn,EX 命令,:l[ist],显示行
cn,EX 命令,:ll,转到指定位置
cn,EX 命令,:lla[st],转到指定位置，缺省最后一个
cn,EX 命令,:lli[st],列出所有的位置
cn,EX 命令,:lmak[e],执行外部命令 'makeprg' 并分析错误信息
cn,EX 命令,:lm[ap],"类似于 "":map!""，但包括 Lang-Arg 模式"
cn,EX 命令,:lmapc[lear],"类似于 "":mapclear!""，但包括 Lang-Arg 模式"
cn,EX 命令,:lnew[er],跳到较新的位置列表
cn,EX 命令,:lne[xt],跳到下一个位置
cn,EX 命令,:lN[ext],转到位置列表的上一个位置
cn,EX 命令,:lnf[ile],跳到下一个文件的第一个位置
cn,EX 命令,:lNf[ile],转到上个文件的最近一个位置
cn,EX 命令,:ln[oremap],"类似于 "":noremap!""，但包括 Lang-Arg 模式"
cn,EX 命令,:loadk[eymap],载入后面的键盘映射表，直到 EOF 为止
cn,EX 命令,:lo[adview],从文件里为当前窗口载入视图
cn,EX 命令,:loc[kmarks],跟随的命令保持位置标记不变
cn,EX 命令,:lockv[ar],给变量加锁
cn,EX 命令,:lol[der],转到较旧的位置列表
cn,EX 命令,:lope[n],打开位置窗口
cn,EX 命令,:lpf[ile],转到上一个文件的最近的位置
cn,EX 命令,:lp[revious],转到前一个位置
cn,EX 命令,:lr[ewind],转到指定的位置，缺省第一个
cn,EX 命令,:ls,列出所有的缓冲区
cn,EX 命令,:lt[ag],跳转到标签，并把匹配的标签加到位置列表上
cn,EX 命令,:lua,执行 |Lua| 命令
cn,EX 命令,:luad[o],对每行都执行 Lua 命令
cn,EX 命令,:luaf[ile],执行 |Lua| 脚本文件
cn,EX 命令,:lu[nmap],"类似于 "":unmap!""，但包括 Lang-Arg 模式"
cn,EX 命令,:lv[imgrep],在若干文件里搜索模式
cn,EX 命令,:lvimgrepa[dd],类似于 :vimgrep，但附加到当前列表
cn,EX 命令,:lw[indow],打开或关闭位置窗口
cn,EX 命令,:mak[e],执行外部命令 'makeprg' 并分析其错误信息
cn,EX 命令,:map,显示或者输入映射
cn,EX 命令,:mapc[lear],清除所有普通和可视模式的映射
cn,EX 命令,:ma[rk],设置位置标记
cn,EX 命令,:marks,列出所有的位置标记
cn,EX 命令,:mat[ch],定义要高亮显示的匹配的模式
cn,EX 命令,:me[nu],输入新的菜单项
cn,EX 命令,:menut[ranslate],增加菜单翻译项目
cn,EX 命令,:mes[sages],显示以前显示的消息
cn,EX 命令,:mk[exrc],写入当前映射和设置到文件
cn,EX 命令,:mks[ession],写入会话信息到文件
cn,EX 命令,:mksp[ell],生成 .spl 拼写文件
cn,EX 命令,:mkvie[w],写入当前窗口的视图到文件
cn,EX 命令,:mkv[imrc],写入当前映射和设置到文件
cn,EX 命令,:mod[e],显示或者改变屏幕模式
cn,EX 命令,:m[ove],移动行
cn,EX 命令,:mzf[ile],执行 MzScheme 脚本文件
cn,EX 命令,:mz[scheme],执行 MzScheme 命令
cn,EX 命令,:nbc[lose],关闭当前 Netbeans 会话
cn,EX 命令,:nb[key],传递一个键给 Netbeans
cn,EX 命令,:nbs[art],打开一个新的 Netbeans 会话
cn,EX 命令,:new,创建一个新的空白窗口
cn,EX 命令,:n[ext],跳转到参数列表的下一个文件
cn,EX 命令,:N[ext],转到参数列表的上一个文件
cn,EX 命令,:nm[ap],"类似于 "":map""，但使用普通模式"
cn,EX 命令,:nmapc[lear],清除普通模式的所有映射
cn,EX 命令,:nme[nu],为普通模式增加菜单
cn,EX 命令,:nn[oremap],"类似于 "":noremap""，但使用普通模式"
cn,EX 命令,:nnoreme[nu],"类似于 "":noremenu""，但使用普通模式"
cn,EX 命令,:noa[utocmd],跟随的命令不激活自动命令
cn,EX 命令,:noh[lsearch],暂停 'hlsearch' 高亮
cn,EX 命令,:norea[bbrev],输入不会被重新映射的缩写
cn,EX 命令,:no[remap],输入不会被重新映射的映射
cn,EX 命令,:noreme[nu],输入不会被重新映射的菜单
cn,EX 命令,:norm[al],执行普通模式的命令
cn,EX 命令,:nu[mber],显示文本行时给出行号
cn,EX 命令,:nun[map],"类似于 "":unmap""，但使用普通模式"
cn,EX 命令,:nunme[nu],删除普通模式的菜单
cn,EX 命令,:ol[dfiles],列出 viminfo 文件中包含位置标记的文件
cn,EX 命令,:om[ap],"类似于 "":map""，但使用操作符等待模式"
cn,EX 命令,:omapc[lear],删除操作符等待模式的所有映射
cn,EX 命令,:ome[nu],为操作符等待模式增加菜单
cn,EX 命令,:on[ly],关闭当前窗口，除了当前的窗口以外
cn,EX 命令,:ono[remap],"类似于 "":noremap""，但使用操作符等待模式"
cn,EX 命令,:onoreme[nu],"类似于 "":noremenu""，但使用操作符等待模式"
cn,EX 命令,:o[pen],启动打开模式 (没有实现)
cn,EX 命令,:opt[ions],打开选项窗口
cn,EX 命令,:ou[nmap],"类似于 "":unmap""，但使用操作符等待模式"
cn,EX 命令,:ounme[nu],删除操作符等待模式的菜单
cn,EX 命令,:ow[nsyntax],为本窗口设置新的局部语法高亮
cn,EX 命令,:pc[lose],关闭预览窗口
cn,EX 命令,:ped[it],在预览窗口编辑文件
cn,EX 命令,:pe[rl],执行 Perl 命令
cn,EX 命令,:perld[o],对每行都执行 Perl 命令
cn,EX 命令,:po[p],跳转到标签栈较旧的项目上
cn,EX 命令,:pop[up],根据名字弹出菜单
cn,EX 命令,:pp[op],"在预览窗口 "":pop"""
cn,EX 命令,:pre[serve],写入所有文本到交换文件
cn,EX 命令,:prev[ious],跳转到参数列表里的上一个文件
cn,EX 命令,:p[rint],显示行
cn,EX 命令,:P[rint],显示行
cn,EX 命令,:profd[el],停止剖视 (profile) 函数或脚本
cn,EX 命令,:prof[ile],剖视 (profile) 函数或脚本
cn,EX 命令,:pro[mptfind],打开 GUI 对话框进行搜索
cn,EX 命令,:promptr[epl],打开 GUI 对话框进行搜索/替代
cn,EX 命令,:ps[earch],"类似于 "":ijump""，但在预览窗口显示匹配"
cn,EX 命令,:pt[ag],在预览窗口显示标签
cn,EX 命令,:ptf[irst],在预览窗口 |:trewind|
cn,EX 命令,:ptj[ump],在预览窗口 |:tjump| 和显示标签
cn,EX 命令,:ptl[ast],在预览窗口 |:tlast|
cn,EX 命令,:ptn[ext],在预览窗口 |:tnext|
cn,EX 命令,:ptN[ext],在预览窗口 |:tNext|
cn,EX 命令,:ptp[revious],在预览窗口 |:tprevious|
cn,EX 命令,:ptr[ewind],在预览窗口 |:trewind|
cn,EX 命令,:pts[elect],在预览窗口 |:tselect| 和显示标签
cn,EX 命令,:pu[t],插入寄存器的内容到文本
cn,EX 命令,:pw[d],显示当前目录
cn,EX 命令,:py3,执行 Python 3 命令
cn,EX 命令,:py3f[ile],执行 Python 3 脚本文件
cn,EX 命令,:pyf[ile],执行 Python 脚本文件
cn,EX 命令,:py[thon],执行 Python 命令
cn,EX 命令,:python3,同 :py3
cn,EX 命令,:qa[ll],退出 Vim
cn,EX 命令,:q[uit],退出当前窗口 (如果只有一窗口，则退出 Vim)
cn,EX 命令,:quita[ll],退出 Vim
cn,EX 命令,:r[ead],读入文件到文本
cn,EX 命令,:rec[over],从交换文件里恢复文件
cn,EX 命令,:redi[r],重定向消息到文件或者寄存器
cn,EX 命令,:red[o],重做一次撤销的改变
cn,EX 命令,:redr[aw],强迫显示的重画
cn,EX 命令,:redraws[tatus],强迫状态行的重画
cn,EX 命令,:reg[isters],显示寄存器的内容
cn,EX 命令,:res[ize],改变当前窗口的高度
cn,EX 命令,:ret[ab],改变制表大小
cn,EX 命令,:retu[rn],从用户函数返回
cn,EX 命令,:rew[ind],转到参数列表的第一个文件
cn,EX 命令,:ri[ght],右对齐文本
cn,EX 命令,:rightb[elow],使得分割窗口出现在右侧或者下方
cn,EX 命令,:rub[y],执行 Ruby 命令
cn,EX 命令,:rubyd[o],对每行执行 Ruby 命令
cn,EX 命令,:rubyf[ile],执行 Ruby 脚本文件
cn,EX 命令,:rund[o],从文件里读入撤销信息
cn,EX 命令,:ru[ntime],执行 'runtimepath' 里的 vim 脚本
cn,EX 命令,:rv[iminfo],读取 viminfo 文件
cn,EX 命令,:sal[l],为参数列表的每个文件打开窗口
cn,EX 命令,:san[dbox],在沙盘里执行命令
cn,EX 命令,:sa[rgument],分割窗口并转到参数列表的某一个文件
cn,EX 命令,:sav[eas],用别的名字保存文件。
cn,EX 命令,:sba[ll],为缓冲区列表的每个文件打开窗口
cn,EX 命令,:sbf[irst],分割窗口并转到缓冲区列表的第一个文件
cn,EX 命令,:sbl[ast],分割窗口并转到缓冲区列表的最后一个文件
cn,EX 命令,:sbm[odified],分割窗口并转到缓冲区列表的修改过的文件
cn,EX 命令,:sbn[ext],分割窗口并转到缓冲区列表的后一个文件
cn,EX 命令,:sbN[ext],分割窗口并转到缓冲区列表的前一个文件
cn,EX 命令,:sbp[revious],分割窗口并转到缓冲区列表的前一个文件
cn,EX 命令,:sbr[ewind],分割窗口并转到缓冲区列表的第一个文件
cn,EX 命令,:sb[uffer],分割窗口并转到缓冲区列表的某一个文件
cn,EX 命令,:scripte[ncoding],执行过的 Vim 脚本使用的编码
cn,EX 命令,:scrip[tnames],列出所有执行过的 Vim 脚本的名字
cn,EX 命令,:scs[cope],分割窗口并执行 cscope 命令
cn,EX 命令,:se[t],显示或设置选项
cn,EX 命令,:setf[iletype],设置 'filetype'，除非已经设置过
cn,EX 命令,:setg[lobal],显示或者设置全局选项值
cn,EX 命令,:setl[ocal],显示或者设置本地选项值
cn,EX 命令,:sf[ind],分割当前窗口并编辑 'path' 的文件
cn,EX 命令,:sfir[st],分割窗口并转到参数列表的第一个文件
cn,EX 命令,:sh[ell],退到外壳程序
cn,EX 命令,:sig[n],操作标号
cn,EX 命令,:sil[ent],安静地运行命令
cn,EX 命令,:sim[alt],Win32 GUI: 模拟 Windows ALT 键
cn,EX 命令,:sla[st],分割窗口并转到参数列表的最后一个文件
cn,EX 命令,:sl[eep],几秒内不作任何事
cn,EX 命令,:sm[agic],带 'magic' 的 :substitute
cn,EX 命令,:sma[p],"类似于 "":map""，但用于选择模式"
cn,EX 命令,:smapc[lear],删除选择模式所有的映射
cn,EX 命令,:sme[nu],增加选择模式菜单
cn,EX 命令,:sn[ext],分割窗口并转到参数列表的下一个文件
cn,EX 命令,:sN[ext],分割窗口并转到参数列表的前一个文件
cn,EX 命令,:sni[ff],发送请求到 sniff
cn,EX 命令,:sno[magic],带 'nomagic' 的 :substitute
cn,EX 命令,:snor[emap],"类似于 "":noremap""，但用于选择模式"
cn,EX 命令,:snoreme[nu],"类似于 "":noremenu""，但用于选择模式"
cn,EX 命令,:sor[t],给行排序
cn,EX 命令,:so[urce],从文件里读取 Vim 或 Ex 命令
cn,EX 命令,:spelld[ump],分割窗口并用正确的单词填充
cn,EX 命令,:spe[llgood],增加拼写的好词
cn,EX 命令,:spelli[nfo],显示载入的拼写文件的信息
cn,EX 命令,:spellr[epall],像上次 |z=| 那样，但替换所有的坏词
cn,EX 命令,:spellu[ndo],删除好词或坏词
cn,EX 命令,:spellw[rong],增加拼写错误
cn,EX 命令,:sp[lit],分割当前窗口
cn,EX 命令,:spr[evious],分割窗口并转到参数列表的前一个文件
cn,EX 命令,:sre[wind],分割窗口并转到参数列表的第一个文件
cn,EX 命令,:sta[g],分割窗口并跳转到标签上
cn,EX 命令,:startg[replace],开始虚拟替换模式
cn,EX 命令,:star[tinsert],开始插入模式
cn,EX 命令,:startr[eplace],开始替换模式
cn,EX 命令,:stj[ump],"执行 "":tjump"" 并分割窗口"
cn,EX 命令,:st[op],暂停编辑器并退回外壳
cn,EX 命令,:stopi[nsert],退出插入模式
cn,EX 命令,:sts[elect],"执行 "":tselect"" 并分割窗口"
cn,EX 命令,:s[ubstitute],查找和替代文本
cn,EX 命令,:sun[hide],"等同于 "":unhide"""
cn,EX 命令,:sunm[ap],"类似于 "":unmap""，但用于选择模式"
cn,EX 命令,:sunme[nu],删除选择模式的菜单
cn,EX 命令,:sus[pend],"等同于 "":stop"""
cn,EX 命令,:sv[iew],分割窗口并以只读模式编辑文件
cn,EX 命令,:sw[apname],显示当前交换文件的名字
cn,EX 命令,:sync[bind],同步滚动绑定
cn,EX 命令,:sy[ntax],语法高亮
cn,EX 命令,:t,"等同于 "":copy"""
cn,EX 命令,:tab,打开新窗口时建立新的标签页
cn,EX 命令,:tabc[lose],关闭当前标签页
cn,EX 命令,:tabdo,为每个标签页执行命令
cn,EX 命令,:tabe[dit],在新标签页里编辑文件
cn,EX 命令,:tabf[ind],寻找 'path' 里的文件，在新标签页里编辑之
cn,EX 命令,:tabfir[st],转到第一个标签页
cn,EX 命令,:tabl[ast],转到最后一个标签页
cn,EX 命令,:tabm[ove],把标签页移到别的位置
cn,EX 命令,:tabnew,在新标签页里编辑文件
cn,EX 命令,:tabn[ext],转到下一个标签页
cn,EX 命令,:tabN[ext],跳到上一个标签页
cn,EX 命令,:tabo[nly],关闭所有除了当前标签页以外的所有标签页
cn,EX 命令,:tabp[revious],转到前一个标签页
cn,EX 命令,:tabr[ewind],转到第一个标签页
cn,EX 命令,:tabs,列出标签页以及里面包含的内容
cn,EX 命令,:ta[g],跳转到标签上
cn,EX 命令,:tags,显示标签栈的内容
cn,EX 命令,:tc[l],执行 Tcl 命令
cn,EX 命令,:tcld[o],为每行执行 Tcl 命令
cn,EX 命令,:tclf[ile],执行 Tcl 脚本文件
cn,EX 命令,:te[aroff],撕下一个菜单
cn,EX 命令,:tf[irst],转到第一个匹配的标签
cn,EX 命令,:th[row],抛出例外
cn,EX 命令,:tj[ump],"类似于 "":tselect""，只有一个匹配时直接跳转之"
cn,EX 命令,:tl[ast],跳转到最后一个匹配的标签
cn,EX 命令,:tm[enu],定义菜单的工具提示
cn,EX 命令,:tn[ext],跳转到下一个匹配的标签
cn,EX 命令,:tN[ext],跳转到上一个匹配的标签
cn,EX 命令,:to[pleft],使得分割的窗口出现在顶部或者最左端
cn,EX 命令,:tp[revious],跳转到上一个匹配的标签
cn,EX 命令,:tr[ewind],跳转到第一个匹配的标签
cn,EX 命令,:try,执行命令，错误或者例外时终止
cn,EX 命令,:ts[elect],列出匹配的标签并从中选择一个
cn,EX 命令,:tu[nmenu],删除菜单的工具提示
cn,EX 命令,:una[bbreviate],删除缩写
cn,EX 命令,:u[ndo],撤销最近的改变
cn,EX 命令,:undoj[oin],将下一个改变和上一个撤销块合并
cn,EX 命令,:undol[ist],列出撤销树的叶结点
cn,EX 命令,:unh[ide],为缓冲区列表里每个载入的文件打开窗口
cn,EX 命令,:unl[et],删除变量
cn,EX 命令,:unlo[ckvar],给变量解锁
